Date,Close
9/3/03,3375
9/4/03,3425
9/5/03,3450
9/8/03,3400
9/9/03,3325
9/10/03,3200
9/11/03,3200
9/12/03,3300
9/15/03,3250
9/16/03,3325
9/17/03,3325
9/18/03,3300
9/19/03,3300
9/22/03,3300
9/23/03,3300
9/24/03,3325
9/25/03,3350
9/26/03,3325
9/29/03,3300
9/30/03,3350
10/1/03,3325
10/2/03,3350
10/3/03,3325
10/6/03,3300
10/7/03,3325
10/8/03,3300
10/9/03,3300
10/10/03,3275
10/13/03,3300
10/14/03,3300
10/15/03,3250
10/16/03,3250
10/17/03,3275
10/20/03,3250
10/21/03,3250
10/22/03,3200
10/23/03,3100
10/24/03,3225
10/27/03,3225
10/28/03,3225
10/29/03,3175
10/30/03,3125
10/31/03,3225
11/3/03,3200
11/4/03,3250
11/5/03,3200
11/6/03,3225
11/7/03,3250
11/10/03,3300
11/11/03,3300
11/12/03,3275
11/13/03,3225
11/14/03,3200
11/17/03,3175
11/18/03,3175
11/19/03,3150
11/20/03,3150
11/21/03,3175
11/24/03,3175
11/25/03,3175
11/26/03,3175
11/27/03,3175
11/28/03,3175
12/1/03,3425
12/2/03,3350
12/3/03,3350
12/4/03,3325
12/5/03,3275
12/8/03,3275
12/9/03,3250
12/10/03,3250
12/11/03,3275
12/12/03,3250
12/15/03,3250
12/16/03,3300
12/17/03,3275
12/18/03,3350
12/19/03,3425
12/22/03,3450
12/23/03,3425
12/24/03,3425
12/25/03,3425
12/26/03,3425
12/29/03,3675
12/30/03,3625
12/31/03,3625
1/1/04,3625
1/2/04,3575
1/5/04,3575
1/6/04,3575
1/7/04,3525
1/8/04,3575
1/9/04,3675
1/12/04,3625
1/13/04,3575
1/14/04,3650
1/15/04,3750
1/16/04,3875
1/19/04,3825
1/20/04,3825
1/21/04,3750
1/22/04,3750
1/23/04,3850
1/26/04,3900
1/27/04,3800
1/28/04,3750
1/29/04,3775
1/30/04,3825
2/2/04,3825
2/3/04,3725
2/4/04,3700
2/5/04,3800
2/6/04,3850
2/9/04,3825
2/10/04,3825
2/11/04,3850
2/12/04,3850
2/13/04,3850
2/16/04,3775
2/17/04,3725
2/18/04,3600
2/19/04,3575
2/20/04,3575
2/23/04,3575
2/24/04,3625
2/25/04,3600
2/26/04,3550
2/27/04,3400
3/1/04,3375
3/2/04,3675
3/3/04,3575
3/4/04,3550
3/5/04,3575
3/8/04,3525
3/9/04,3550
3/10/04,3550
3/11/04,3450
3/12/04,3425
3/15/04,3400
3/16/04,3450
3/17/04,3450
3/18/04,3525
3/19/04,3550
3/22/04,3550
3/23/04,3550
3/24/04,3550
3/25/04,3450
3/26/04,3475
3/29/04,3550
3/30/04,3525
3/31/04,3550
4/1/04,3550
4/2/04,3550
4/5/04,3550
4/6/04,3625
4/7/04,3600
4/8/04,3675
4/9/04,3675
4/12/04,3600
4/13/04,3600
4/14/04,3675
4/15/04,3650
4/16/04,3650
4/19/04,3675
4/20/04,3750
4/21/04,3775
4/22/04,3700
4/23/04,3650
4/26/04,3650
4/27/04,3700
4/28/04,3750
4/29/04,3725
4/30/04,3675
5/3/04,3675
5/4/04,3675
5/5/04,3600
5/6/04,3625
5/7/04,3600
5/10/04,3500
5/11/04,3650
5/12/04,3725
5/13/04,3750
5/14/04,3725
5/17/04,3375
5/18/04,3525
5/19/04,3550
5/20/04,3550
5/21/04,3650
5/24/04,3675
5/25/04,3575
5/26/04,3575
5/27/04,3600
5/28/04,3600
5/31/04,3600
6/1/04,3625
6/2/04,3650
6/3/04,3650
6/4/04,3650
6/7/04,3700
6/8/04,3675
6/9/04,3675
6/10/04,3700
6/11/04,3675
6/14/04,3700
6/15/04,3775
6/16/04,3800
6/17/04,3775
6/18/04,3625
6/21/04,3650
6/22/04,3675
6/23/04,3625
6/24/04,3700
6/25/04,3850
6/28/04,3800
6/29/04,3800
6/30/04,3925
7/1/04,3800
7/2/04,3900
7/5/04,3900
7/6/04,3950
7/7/04,3950
7/8/04,3975
7/9/04,3900
7/12/04,3900
7/13/04,3950
7/14/04,3900
7/15/04,3875
7/16/04,3850
7/19/04,3850
7/20/04,3875
7/21/04,3850
7/22/04,3800
7/23/04,3775
7/26/04,3775
7/27/04,3825
7/28/04,3850
7/29/04,3875
7/30/04,3775
8/2/04,3800
8/3/04,3850
8/4/04,3825
8/5/04,3775
8/6/04,3800
8/9/04,3675
